rs10004195	Lesion of stomach
rs2304725	Schizophrenia
rs23051560	Breast Carcinoma
rs23051560	Malignant neoplasm of breast
rs2305160	Breast Carcinoma
rs2305160	Chronic Lymphocytic Leukemia
rs2305160	Lymphoma
rs2305160	Malignant neoplasm of breast
rs2305480	Asthma
rs2305480	Bronchial Hyperreactivity
rs2305480	Ulcerative Colitis
rs2305480	Wheezing
rs2305482	Hepatitis C
rs2305482	Leukopenia
rs2305482	Neutropenia
rs2305619	Idiopathic Pulmonary Fibrosis
rs2305767	Celiac Disease
rs2305767	Inflammatory Bowel Diseases
rs2305795	Narcolepsy
rs2305948	Coronary Arteriosclerosis
rs2305948	Coronary Artery Disease
rs2305948	Coronary heart disease
rs2305948	Diabetes Mellitus, Non-Insulin-Dependent
rs2305948	Myocardial Infarction
rs2306029	Chronic Lymphocytic Leukemia
rs2306029	Lymphoma
rs2306073	Alcohol abuse
rs2306073	alcohol use disorder
rs2306073	Phobia, Social
rs2306074	Alzheimer's Disease
rs2306074	Breast Carcinoma
rs2306074	Malignant neoplasm of breast
rs2306677	Amyotrophic Lateral Sclerosis
rs2306677	Amyotrophic Lateral Sclerosis, Sporadic
rs2306819	Obesity
rs2308237	Colorectal Cancer
rs2308237	Colorectal Carcinoma
rs2308765	Hypertensive disease
rs2312147	Schizophrenia
rs231775	Asthma
rs231775	Autoimmune Diseases
rs231775	Autoimmune thyroid disease
rs231775	Behcet Syndrome
rs231775	Breast Carcinoma
rs231775	Diabetes Mellitus, Insulin-Dependent
rs231775	Disorder of eye
rs231775	Generalized vitiligo
rs231775	Graves Disease
rs231775	Hashimoto Disease
rs231775	Juvenile arthritis
rs231775	Juvenile rheumatoid arthritis
rs231775	Lupus Erythematosus, Systemic
rs231775	Malignant neoplasm of breast
rs231775	Mucocutaneous Lymph Node Syndrome
rs231775	Osteosarcoma
rs231775	Osteosarcoma of bone
rs231775	Rheumatoid Arthritis
rs231775	Thymoma
rs231775	Thyroiditis
rs231775	Uveomeningoencephalitic Syndrome
rs231777	Primary biliary cirrhosis
rs2336219	Neoplasm Metastasis
rs2337107	Colorectal Cancer
rs2337107	Colorectal Carcinoma
rs2337359	Dental caries
rs2337980	NEUROTICISM
rs2346061	Diabetic Nephropathy
rs234706	Lymphoma, Large-Cell, Follicular
rs234706	Lymphoma, Non-Hodgkin
rs234709	Carcinoma of lung
rs234709	Malignant neoplasm of lung
rs234715	Autistic Disorder
rs2349775	Ichthyosis Bullosa of Siemens
rs2349775	Irritable Bowel Syndrome
rs2349775	Neurotic Disorders
rs2349775	NEUROTICISM
rs2351791	Myocardial Infarction
rs2351791	Vascular stenosis
rs2352028	Carcinoma of lung
rs2352028	Lung Neoplasms
rs2352028	Malignant neoplasm of lung
rs235858	Myopia
rs2359612	Cardiovascular Diseases
rs2359612	Coronary Arteriosclerosis
rs2359612	Coronary Artery Disease
rs2359612	Coronary heart disease
rs2359612	Dissection of aorta
rs2363956	Breast Carcinoma
rs2363956	Malignant neoplasm of breast
rs2363956	Malignant neoplasm of ovary
rs2363956	ovarian neoplasm
rs236918	Cirrhosis
rs236918	Liver Cirrhosis
rs236918	Obesity
rs236918	Overweight
rs237025	Amyloidosis
rs237025	Autoimmune Diseases
rs237025	Autoimmune thyroid disease
rs237025	Coronary Arteriosclerosis
rs237025	Coronary heart disease
rs237025	Diabetes, Autoimmune
rs237025	Diabetes Mellitus, Insulin-Dependent
rs237025	Diabetes Mellitus, Non-Insulin-Dependent
rs237025	Diabetic Nephropathy
rs237025	Diabetic Retinopathy
rs237025	Graves Disease
rs237025	Rheumatoid Arthritis
rs2373115	Alzheimer's Disease
rs2377422	Rheumatoid Arthritis
rs237885	Depression, Postpartum
rs2380165	Nasopharyngeal carcinoma
rs2380205	Breast Carcinoma
rs2380205	Malignant neoplasm of breast
rs2381289	Allergic rhinitis (disorder)
rs2381289	Asthma
rs2383206	Coronary Artery Disease
rs2383206	Coronary heart disease
rs2383206	Diabetes Mellitus, Non-Insulin-Dependent
rs2383206	Ischemic Cerebrovascular Accident
rs2383206	Ischemic stroke
rs2383206	Myocardial Infarction
rs2383207	Aortic Aneurysm, Abdominal
rs2383207	Cerebrovascular accident
rs2383207	Ischemic Cerebrovascular Accident
rs2383207	Ischemic stroke
rs2383207	Myocardial Infarction
rs2383208	Diabetes Mellitus, Non-Insulin-Dependent
rs2383208	Gestational Diabetes
rs2387084	Malignant neoplasm of prostate
rs2387084	Prostate carcinoma
rs2391191	Schizophrenia
rs2395029	Acquired Immunodeficiency Syndrome
rs2395029	Drug-Induced Liver Injury
rs2395029	HIV Infections
rs2395029	Psoriasis
rs2395029	Salivary Gland Pleomorphic Adenoma
rs2395185	Asthma
rs2395185	Classical Hodgkin's Lymphoma
rs2395185	Metabolic Syndrome X
rs2395185	Ulcerative Colitis
rs2395309	Hepatitis B
rs2395309	Hepatitis B, Chronic
rs2395655	Squamous cell carcinoma of esophagus
rs2396753	child abuse behavior
rs2396753	Hallucinations
rs2397084	Asthma
rs2413739	leukemia
rs2414096	Gynecomastia
rs2414096	Hyperandrogenism
rs2414096	Ovarian Diseases
rs2414096	Polycystic Ovary Syndrome
rs2424908	Leukemia, Myelocytic, Acute
rs2424913	Colorectal Cancer
rs2424913	Colorectal Carcinoma
rs242557	Diabetes Mellitus, Insulin-Dependent
rs242557	Parkinson Disease
rs242557	Progressive supranuclear palsy
rs242557	Ulcerative Colitis
rs2425637	Diabetes Mellitus, Non-Insulin-Dependent
rs2426618	Breast Carcinoma
rs2426618	Malignant neoplasm of breast
rs2427827	aspirin intolerance
rs242939	Depressive disorder
rs2430561	Acute Q fever
rs2430561	Breast Carcinoma
rs2430561	Bronchiolitis
rs2430561	Classical Hodgkin's Lymphoma
rs2430561	Crohn Disease
rs2430561	Liver carcinoma
rs2430561	Malaria
rs2430561	Malignant neoplasm of breast
rs2430561	Mycobacterium Infections
rs2430561	Rheumatoid Arthritis
rs2430561	Schizophrenia
rs2430561	Tuberculosis
rs2430561	Ulcerative Colitis
rs2431238	Malignant neoplasm of pancreas
rs2431238	Pancreatic carcinoma
rs2431697	Lupus Erythematosus, Systemic
rs2433320	Bipolar Disorder
rs2433320	Major Depressive Disorder
rs2433320	Unipolar Depression
rs2435357	Hirschsprung Disease
rs2435357	Hirschsprung disease 1
rs243865	Carcinoma of bladder
rs243865	Glaucoma, Open-Angle
rs243865	Malignant neoplasm of stomach
rs243865	Malignant neoplasm of urinary bladder
rs243865	Rheumatoid Arthritis
rs243865	Secondary malignant neoplasm of lymph node
rs243865	Stomach Carcinoma
rs2439302	Malignant neoplasm of thyroid
rs2439302	Papillary thyroid carcinoma
rs2439302	Thyroid carcinoma
rs2439302	Thyroid Neoplasm
rs2449539	Adolescent idiopathic scoliosis
rs2455012	Staphylococcus aureus infection
rs2456778	Paranoia
rs2458413	Osteitis Deformans
rs2458413	Paget's Disease
rs245914	Psychotic Disorders
rs246079	Esophageal carcinoma
rs246079	Esophageal Neoplasms
rs246079	Malignant neoplasm of esophagus
rs246079	Squamous cell carcinoma of esophagus
rs2466571	Lymphoma
rs2470152	Ovarian Diseases
rs2470152	Polycystic Ovary Syndrome
rs2470893	Breast Carcinoma
rs2470893	Malignant neoplasm of breast
rs2472493	Glaucoma, Primary Open Angle
rs2472493	Intraocular pressure disorder
rs2472680	Hypospadias
rs2472680	Penile hypospadias
rs247616	Cardiovascular Diseases
rs2476601	Acute anterior uveitis
rs2476601	Addison Disease
rs2476601	Alopecia Areata
rs2476601	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
rs2476601	Arthritis
rs2476601	Autoimmune Diseases
rs2476601	Autoimmune thyroid disease
rs2476601	Autoimmune thyroiditis
rs2476601	Bacterial Infections
rs2476601	Brucellosis
rs2476601	Celiac Disease
rs2476601	Cholangitis, Sclerosing
rs2476601	Crohn Disease
rs2476601	Diabetes
rs2476601	Diabetes Mellitus
rs2476601	Diabetes Mellitus, Insulin-Dependent
rs2476601	Diabetes Mellitus, Non-Insulin-Dependent
rs2476601	Endometriosis
rs2476601	Esophageal Achalasia
rs2476601	Generalized vitiligo
rs2476601	Giant Cell Arteritis
rs2476601	Granulomatosis
rs2476601	Graves Disease
rs2476601	Hashimoto Disease
rs2476601	Hepatitis C
rs2476601	Inflammatory Bowel Diseases
rs2476601	Juvenile arthritis
rs2476601	Juvenile rheumatoid arthritis
rs2476601	Lupus Erythematosus
rs2476601	Lupus Erythematosus, Discoid
rs2476601	Lupus Erythematosus, Systemic
rs2476601	Lupus Vulgaris
rs2476601	Multiple Sclerosis
rs2476601	Myasthenia Gravis
rs2476601	Psoriasis
rs2476601	Rheumatic Heart Disease
rs2476601	Rheumatoid Arthritis
rs2476601	Sjogren's Syndrome
rs2476601	Superficial ulcer
rs2476601	Systemic Scleroderma
rs2476601	Thymoma
rs2476601	Thyroid Diseases
rs2476601	Thyroiditis
rs2476601	Tuberculosis
rs2476601	Tuberculosis, Pulmonary
rs2476601	Ulcerative Colitis
rs2476601	Vasculitis
rs2476601	Vitiligo
rs2476601	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)
rs2476601	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 6
rs2478545	Coronary heart disease
rs2478813	Mixed anxiety and depressive disorder
rs2478813	psychological distress
rs2479106	Endometrial Carcinoma
rs2479106	Ovarian Diseases
rs2479106	Polycystic Ovary Syndrome
rs2486253	Idiopathic generalized epilepsy
rs2486253	Tonic - clonic seizures
rs248793	Alcoholic Intoxication, Chronic
rs2488457	Autoimmune Diseases
rs2488457	Diabetes Mellitus, Insulin-Dependent
rs2488457	Juvenile arthritis
rs2488457	Juvenile rheumatoid arthritis
rs2488457	Ulcerative Colitis
rs2494732	Marijuana Abuse
rs2494732	Metastatic malignant neoplasm to brain
rs2494732	Nonorganic psychosis
rs2494732	Psychotic Disorders
rs2498801	Endometrial Carcinoma
rs2498801	Malignant neoplasm of endometrium
rs2498801	Malignant Squamous Cell Neoplasm
rs2498801	Squamous cell carcinoma
rs2498801	Uterine Corpus Cancer
rs2498804	Metastatic malignant neoplasm to brain
rs2499604	Non-alcoholic Fatty Liver Disease
rs2499953	Diabetes Mellitus, Non-Insulin-Dependent
rs250108	Breast Carcinoma
rs250108	Malignant neoplasm of breast
rs2501432	Immune thrombocytopenic purpura
rs2501432	Inflammatory Bowel Diseases
rs2507800	Eclampsia
rs2507800	Pregnancy Complications
rs2509049	Lymphoma, Large-Cell, Follicular
rs2511989	Age related macular degeneration
rs2516448	Cervix carcinoma
rs2516448	Malignant tumor of cervix
rs2516839	Coronary Arteriosclerosis
rs2516839	Coronary Artery Disease
rs2516839	Coronary heart disease
rs2516839	Diabetes
rs2516839	Diabetes Mellitus
rs2516839	Liver carcinoma
rs2517713	Nasopharyngeal carcinoma
rs2518824	Schizophrenia
rs2519152	Schizophrenia
rs2519152	Substance Use Disorders
rs2521634	Chronic Periodontitis
rs2522137	Carcinoma of lung
rs2522137	Chronic Obstructive Airway Disease
rs2522137	Malignant neoplasm of lung
rs2522137	Tuberculosis, Pulmonary
rs2522833	Major Depressive Disorder
rs2522833	Mental Depression
rs2522833	Mood Disorders
rs2522833	Unipolar Depression
rs2523822	Drug-Induced Liver Injury
rs2526246	Metabolic Syndrome X
rs2536	Acute lymphocytic leukemia
rs2536	Leukemia, Lymphocytic, Acute, L1
rs2536	Malignant neoplasm of stomach
rs2536	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs2536	Squamous cell carcinoma of esophagus
rs2536	Stomach Carcinoma
rs2540477	Coronary Artery Disease
rs2542151	Ankylosing spondylitis
rs2542151	Crohn Disease
rs2542151	Diabetes Mellitus, Insulin-Dependent
rs2542151	Inflammatory Bowel Diseases
rs2542151	Rheumatoid Arthritis
rs2542151	Ulcerative Colitis
rs2544390	Metabolic Syndrome X
rs2546890	Inflammatory dermatosis
rs2546890	Multiple Sclerosis
rs2546890	Psoriasis
rs25487	Adenocarcinoma
rs25487	Adenocarcinoma Of Esophagus
rs25487	Adenocarcinoma of pancreas
rs25487	Adenoma of large intestine
rs25487	Adenosquamous carcinoma
rs25487	Age-related cataract
rs25487	Barrett Esophagus
rs25487	Bilateral cataracts (disorder)
rs25487	Breast Cancer, Familial
rs25487	Breast Carcinoma
rs25487	Cancer of Head and Neck
rs25487	Carcinogenesis
rs25487	Carcinoma breast stage IV
rs25487	Carcinoma in situ of uterine cervix
rs25487	Carcinoma of bladder
rs25487	Carcinoma of larynx
rs25487	Carcinoma of lung
rs25487	Carcinoma, Transitional Cell
rs25487	Cataract
rs25487	Cervical Intraepithelial Neoplasia
rs25487	Cervix carcinoma
rs25487	Cholangiocarcinoma
rs25487	Chronic kidney disease stage 5
rs25487	Chronic Lymphocytic Leukemia
rs25487	Chronic Obstructive Airway Disease
rs25487	Colorectal Cancer
rs25487	Colorectal Carcinoma
rs25487	Colorectal Neoplasms
rs25487	Congenital chromosomal disease
rs25487	Coronary Artery Disease
rs25487	Diabetes Mellitus, Non-Insulin-Dependent
rs25487	Diabetic Nephropathy
rs25487	Endometrial Carcinoma
rs25487	Endometriosis
rs25487	Esophageal carcinoma
rs25487	Esophageal Neoplasms
rs25487	Exanthema
rs25487	Experimental Organism Basal Cell Carcinoma
rs25487	Gastric Cardia Adenocarcinoma
rs25487	Gastroesophageal reflux disease
rs25487	Gastro-esophageal reflux disease with esophagitis
rs25487	Glaucoma, Primary Open Angle
rs25487	Glioma
rs25487	Hematologic Neoplasms
rs25487	Hepatitis
rs25487	Hepatitis A
rs25487	Hepatitis B
rs25487	Hepatitis Virus-Related Hepatocellular Carcinoma
rs25487	Hyperkeratosis
rs25487	Hypertensive disease
rs25487	Keratosis
rs25487	Kidney Failure
rs25487	Kidney Failure, Chronic
rs25487	Laryngeal Squamous Cell Carcinoma
rs25487	leukemia
rs25487	Leukemia, Lymphocytic, Acute, L1
rs25487	Leukemia, Myelocytic, Acute
rs25487	Leukemogenesis
rs25487	Leukoplakia
rs25487	Liver carcinoma
rs25487	Liver Cirrhosis
rs25487	Lupus Erythematosus, Systemic
rs25487	Lymphoma
rs25487	Malignant mesothelioma
rs25487	Malignant neoplasm of breast
rs25487	Malignant neoplasm of endometrium
rs25487	Malignant neoplasm of esophagus
rs25487	Malignant neoplasm of larynx
rs25487	Malignant neoplasm of liver
rs25487	Malignant neoplasm of lung
rs25487	Malignant neoplasm of pancreas
rs25487	Malignant neoplasm of prostate
rs25487	Malignant neoplasm of stomach
rs25487	Malignant neoplasm of thyroid
rs25487	Malignant neoplasm of urinary bladder
rs25487	Malignant tumor of cervix
rs25487	melanoma
rs25487	Melanosis
rs25487	Melanosis coli
rs25487	Meningioma
rs25487	Myocardial Infarction
rs25487	Nasopharyngeal carcinoma
rs25487	Neoplasms, Second Primary
rs25487	Non-Small Cell Lung Carcinoma
rs25487	Pancreatic carcinoma
rs25487	Papillary thyroid carcinoma
rs25487	Paroxysmal atrial tachycardia
rs25487	Peptic Esophagitis
rs25487	Polyp of large intestine
rs25487	Prostate carcinoma
rs25487	Rash and Dermatitis Adverse Event Associated with Chemoradiation
rs25487	Rectal Carcinoma
rs25487	Rheumatoid Arthritis
rs25487	Skin carcinoma
rs25487	Small cell carcinoma of esophagus
rs25487	Sporadic Breast Carcinoma
rs25487	Spots on skin
rs25487	Squamous cell carcinoma
rs25487	Squamous cell carcinoma of the head and neck
rs25487	Stomach Carcinoma
rs25487	Stomatitis
rs25487	Systemic Scleroderma
rs25487	Ulcerative Colitis
rs25487	upper GI cancer
rs25487	Urothelial Carcinoma
rs25487	Uterine Corpus Cancer
rs25487	Uterine Fibroids
rs25487	Viral hepatitis
rs25487	Vitiligo
rs25487	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)
rs25487	Xeroderma Pigmentosum
rs25487	Xeroderma Pigmentosum, Complementation Group D
rs25531	Affective Disorders, Psychotic
rs25531	Alcoholic Intoxication, Chronic
rs25531	Anxiety Disorders
rs25531	Atrial Septal Defects
rs25531	Attention deficit hyperactivity disorder
rs25531	Atypical depressive disorder
rs25531	Autism Spectrum Disorders
rs25531	Blushing
rs25531	Borderline Personality Disorder
rs25531	Cerebrovascular accident
rs25531	Depressive disorder
rs25531	Depressive Symptoms
rs25531	Diabetes
rs25531	Diabetes Mellitus
rs25531	Dysphoric mood
rs25531	Irritable Bowel Syndrome
rs25531	Major Depressive Disorder
rs25531	Mental Depression
rs25531	Mental disorders
rs25531	Obsessive-Compulsive Disorder
rs25531	Osteochondritis Dissecans
rs25531	Pain
rs25531	Phobia, Social
rs25531	Post-Traumatic Stress Disorder
rs25531	Premenstrual syndrome
rs25531	psychological distress
rs25531	Psychotic Disorders
rs25531	Schizophrenia
rs25531	Single major depressive episode
rs25531	Stress Disorders, Traumatic, Acute
rs25531	Sudden infant death syndrome
rs25531	Unipolar Depression
rs25532	Obsessive-Compulsive Disorder
rs25532	Osteochondritis Dissecans
rs2555639	Colon Carcinoma
rs2555639	Malignant tumor of colon
rs2566	Carcinogenesis
rs2569190	Acute pancreatitis
rs2569190	Allergic sensitization
rs2569190	Arteriosclerosis
rs2569190	Asthma
rs2569190	Atherosclerosis
rs2569190	Carotid Stenosis
rs2569190	Childhood asthma
rs2569190	Coronary Arteriosclerosis
rs2569190	Coronary heart disease
rs2569190	Crohn Disease
rs2569190	Hepatitis C, Chronic
rs2569190	Inflammatory Bowel Diseases
rs2569190	Malignant neoplasm of stomach
rs2569190	Myocardial Infarction
rs2569190	Myocardial Ischemia
rs2569190	Severe Sepsis
rs2569190	Stomach Carcinoma
rs2569190	Ulcerative Colitis
rs2569190	Very Low Birth Weight
rs2569191	Childhood asthma
rs2569191	Wheezing
rs2569512	Chronic Kidney Diseases
rs2569512	Myocardial Infarction
rs2576178	Hypertensive disease
rs2580520	Breast Carcinoma
rs2580520	Malignant neoplasm of breast
rs25882	Allergic disposition
rs25882	Asthma
rs25882	CARCINOMA OF VULVA
rs25882	Malignant neoplasm of vulva
rs2596542	Hepatitis B
rs2596542	Hepatitis B, Chronic
rs2596542	Hepatitis B Virus-Related Hepatocellular Carcinoma
rs2596542	Hepatitis C
rs2596542	Liver carcinoma
rs2604204	Conn Syndrome
rs2604204	Essential Hypertension
rs2605100	Obesity
rs2605100	Obesity, Abdominal
rs2606345	Brain Neoplasms
rs2606345	Carcinoma of ampulla of Vater
rs2606345	Carcinoma of lung
rs2606345	Depressive Symptoms
rs2606345	Homocysteinemia
rs2606345	Hyperhomocysteinemia
rs2606345	Malignant neoplasm of lung
rs2606345	Mammographic Density
rs2606345	Nosocomial pneumonia
rs2606345	vascular disease occlusive
rs2612091	Palmar-plantar erythrodysesthesia syndrome
rs2612091	Sickle Cell Dactylitis
rs2619112	Coronary Artery Disease
rs2619112	Rectal Carcinoma
rs2622590	Papillary thyroid carcinoma
rs26232	Rheumatoid Arthritis
rs2629540	Cocaine Dependence
rs263232	Post-Traumatic Stress Disorder
rs2644261	Diabetes Mellitus, Insulin-Dependent
rs2645424	Hepatitis C, Chronic
rs2645424	Non-alcoholic Fatty Liver Disease
rs2645424	Nonalcoholic Steatohepatitis
rs2647012	Lupus Erythematosus, Systemic
rs2647012	Lymphoma, Follicular
rs2647012	Lymphoma, Large-Cell, Follicular
rs2647012	Lymphoma, Non-Hodgkin
rs2648875	Kidney Failure, Chronic
rs2651899	Common Migraine
rs2651899	Migraine Disorders
rs2659056	Prostate Cancer, Hereditary, 7
rs2660753	Malignant neoplasm of prostate
rs2660753	Prostate carcinoma
rs2660753	Prostatic Neoplasms
rs2660	Malignant neoplasm of prostate
rs2660	Prostate carcinoma
rs2662411	Small cell carcinoma of lung
rs2664155	Malignant neoplasm of prostate
rs2664155	Prostate carcinoma
rs2664349	Sepsis
rs2664349	Septicemia
rs266729	Cardiovascular Diseases
rs266729	Cerebral Infarction
rs266729	Cerebrovascular accident
rs266729	Colon Carcinoma
rs266729	Colorectal Cancer
rs266729	Colorectal Carcinoma
rs266729	Coronary Arteriosclerosis
rs266729	Diabetes Mellitus
rs266729	Diabetes Mellitus, Non-Insulin-Dependent
rs266729	Diabetic Nephropathy
rs266729	Gestational Diabetes
rs266729	Hypertensive disease
rs266729	Malignant tumor of colon
rs266729	Metabolic Syndrome X
rs266729	Obesity
rs266729	Rheumatoid Arthritis
rs266729	Vascular Diseases
rs266882	Malignant neoplasm of prostate
rs266882	Prostate carcinoma
rs2669845	Age related macular degeneration
rs2669845	Obesity
rs2670660	Arthritis
rs2670660	Lupus Erythematosus, Systemic
rs2670660	Malignant neoplasm of prostate
rs2670660	Nephritis
rs2670660	Prostate carcinoma
rs2671222	Diabetes
rs2671222	Diabetes Mellitus
rs267734	Cardiovascular Diseases
rs267734	Kidney Diseases
rs267738	Rhegmatogenous retinal detachment
rs2679798	Age related macular degeneration
rs2679895	Coronary Artery Disease
rs2679895	Periodontitis, Juvenile
rs2681019	Diabetes Mellitus, Non-Insulin-Dependent
rs2686342	Ischemic Cerebrovascular Accident
rs2686342	Ischemic stroke
rs27044	Ankylosing spondylitis
rs2706347	Asthma
rs27072	Attention deficit hyperactivity disorder
rs27072	NEUROTICISM
rs2709376	Depressive disorder
rs2709376	Mental Depression
rs2709736	Bipolar Disorder
rs2709800	Lesion of stomach
rs2710102	Autistic Disorder
rs2710102	Language Disorders
rs2710102	Specific language impairment
rs2720709	Plasmacytoma
rs2721051	Benign neoplasm of cornea
rs2721051	Corneal Diseases
rs2721051	Keratoconus
rs2721051	Malignant neoplasm of cornea
rs2724384	Febrile Convulsions
rs2725264	Non-Small Cell Lung Carcinoma
rs2727831	Asthma
rs2727943	Alcoholic Intoxication, Chronic
rs2727943	Bipolar Disorder
rs2730260	Myopia
rs273259	Febrile Convulsions
rs2734986	Classical Hodgkin's Lymphoma
rs2735383	Breast Carcinoma
rs2735383	Malignant neoplasm of breast
rs2735839	Malignant neoplasm of prostate
rs2735839	Prostate Cancer, Hereditary, 7
rs2735839	Prostate carcinoma
rs2735839	Prostatic Neoplasms
rs2735940	Colonic Polyps
rs2735940	Leukemia, Lymphocytic, Acute, L1
rs2736098	Adenocarcinoma
rs2736098	Adenocarcinoma of lung (disorder)
rs2736098	Carcinoma of lung
rs2736098	Carcinoma, Small Cell
rs2736098	Colonic Polyps
rs2736098	Glioblastoma
rs2736098	Glioma
rs2736098	Liver carcinoma
rs2736098	Malignant neoplasm of lung
rs2736098	Malignant neoplasm of pancreas
rs2736098	Malignant neoplasm of prostate
rs2736098	Nasopharyngeal carcinoma
rs2736098	Non-Small Cell Lung Carcinoma
rs2736098	Prostate carcinoma
rs2736098	Small cell carcinoma of lung
rs2736100	Adenocarcinoma
rs2736100	Adenocarcinoma of lung (disorder)
rs2736100	Arteriosclerosis
rs2736100	Atherosclerosis
rs2736100	Brain Neoplasms
rs2736100	Breast Carcinoma
rs2736100	Carcinoma of bladder
rs2736100	Carcinoma of lung
rs2736100	childhood brain tumor
rs2736100	Chromosome 10, monosomy 10q
rs2736100	Colonic Polyps
rs2736100	Colorectal Cancer
rs2736100	Colorectal Carcinoma
rs2736100	Coronary Arteriosclerosis
rs2736100	Coronary heart disease
rs2736100	Glioblastoma
rs2736100	Glioma
rs2736100	Idiopathic Pulmonary Fibrosis
rs2736100	Ischemic Cerebrovascular Accident
rs2736100	Ischemic stroke
rs2736100	Leukemia, Lymphocytic, Acute, L1
rs2736100	Lung Diseases, Interstitial
rs2736100	Lung Neoplasms
rs2736100	Malignant neoplasm of breast
rs2736100	Malignant neoplasm of lung
rs2736100	Malignant neoplasm of urinary bladder
rs2736100	Nicotine Dependence
rs2736100	Non-Small Cell Lung Carcinoma
rs2736100	Smoker's lung
rs2736100	Testicular malignant germ cell tumor
rs2736100	Testicular Neoplasms
rs2736108	Breast Carcinoma
rs2736108	Malignant neoplasm of breast
rs2736109	Breast Carcinoma
rs2736122	Colonic Polyps
rs2736158	Squamous cell carcinoma
rs2736340	Diabetes Mellitus, Insulin-Dependent
rs2736340	Kidney Diseases
rs2736340	Lupus Erythematosus, Systemic
rs2736340	Mucocutaneous Lymph Node Syndrome
rs2736340	Multiple Sclerosis
rs2736340	Rheumatoid Arthritis
rs2736654	Autistic Disorder
rs2736654	Diabetes Mellitus, Non-Insulin-Dependent
rs2736911	Age related macular degeneration
rs2736911	Exudative age-related macular degeneration
rs2736990	Parkinson Disease
rs2737	Colon Carcinoma
rs2737	Colorectal Cancer
rs2737	Colorectal Carcinoma
rs2737	Malignant tumor of colon
rs2740210	Depression, Postpartum
rs2741354	Carcinoma of lung
rs2741354	Malignant neoplasm of lung
rs2745557	Malignant neoplasm of prostate
rs2745557	Prostate carcinoma
rs2745557	Schizophrenia
rs2747648	Breast Carcinoma
rs2747648	Malignant neoplasm of breast
rs27524	Classical Hodgkin's Lymphoma
rs27524	Hodgkin Disease
rs27524	Psoriasis
rs2754511	Glaucoma, Primary Open Angle
rs2754511	Primary angle-closure glaucoma
rs2774276	Hypercholesterolemia
rs2774276	Senile Plaques
rs2780895	Asthma
rs2781666	Myocardial Infarction
rs2781667	Myocardial Infarction
rs2786098	Asthma
rs2793094	Depressive disorder
rs2793094	Mental Depression
rs2794520	Carcinoma of lung
rs2794520	Malignant neoplasm of lung
rs2794521	Cerebrovascular accident
rs2794521	Fatigue
rs2796749	Pediatric Obesity
rs279858	Alcoholic Intoxication, Chronic
rs279858	Drug Dependence
rs279858	Substance Dependence
rs279871	Alcoholic Intoxication, Chronic
rs279871	alcohol use disorder
rs279871	Conduct Disorder
rs2802292	Hamartoma
rs2802292	Insulin Resistance
rs2802723	Chronic kidney disease stage 5
rs2802723	Kidney Failure, Chronic
rs2808629	Diabetes Mellitus, Non-Insulin-Dependent
rs2808629	Diabetic Retinopathy
rs2808630	Chronic Obstructive Airway Disease
rs2808630	Kidney Diseases
rs2808630	Malignant neoplasm of lung
rs2808668	Breast Carcinoma
rs2808668	Malignant neoplasm of breast
rs2811712	Cerebral Small Vessel Diseases
rs2813544	HIV Infections
rs2813544	Lipoatrophy
rs2813544	Lipodystrophy
rs2813544	Metabolic Syndrome X
rs281432	Cardiovascular Diseases
rs281432	Squamous cell carcinoma
rs281437	Fibrosis, Liver
rs281439	Breast Carcinoma
rs281439	Malignant neoplasm of breast
rs2814707	Amyotrophic Lateral Sclerosis
rs2815272	Hypertensive disease
rs2815752	Obesity
rs2815752	Obesity, Morbid
rs2815752	Ovarian Diseases
rs2817399	Patent ductus arteriosus
rs2819742	Rhabdomyolysis
rs28305	Cardiovascular Diseases
rs28305	Intermittent Claudication
rs2834167	Hepatitis B
rs2834167	Ischemic Cerebrovascular Accident
rs2834167	Ischemic stroke
rs2834167	Liver carcinoma
rs2834167	Lupus Erythematosus, Systemic
rs2835267	Carcinoma of lung
rs2835267	Malignant neoplasm of lung
rs28357094	Carotid Artery Diseases
rs28357094	Muscular Dystrophy, Duchenne
rs2835859	Absence of pain sensation
rs2835859	Nicotine Dependence
rs28358887	Obesity
rs28362491	Breast Carcinoma
rs28362491	Cardiovascular Diseases
rs28362491	Congestive heart failure
rs28362491	Crohn Disease
rs28362491	Heart failure
rs28362491	Helicobacter pylori infection
rs28362491	Malignant neoplasm of breast
rs28362491	Rectal Carcinoma
rs28362491	Rheumatoid Arthritis
rs28362491	Ulcerative Colitis
rs28366003	Breast Carcinoma
rs28366003	Malignant neoplasm of breast
rs28368082	Male infertility
rs28383151	Liver carcinoma
rs28383487	Major Depressive Disorder
rs28383487	Unipolar Depression
rs2839235	Glomerular filtration rate finding
rs2841277	Rheumatoid Arthritis
rs2844482	Rubella
rs2844573	Hypersensitive syndrome
rs2844573	Leprosy
rs28451617	Glucocorticoid Receptor Deficiency
